word,word_en,animacy,figure
厨师,chef,animate,a1.jpg
乞丐,beggar,animate,a2.jpg
新娘,bride,animate,a3.jpg
鸽子,pigeon,animate,a4.jpg
燕子,swallow,animate,a5.jpg
警察,police,animate,a6.jpg
医生,doctor,animate,a7.jpg
军队,army,animate,a8.jpg
和尚,monk,animate,a9.jpg
皇帝,emperor,animate,a10.jpg
大象,elephant,animate,a11.jpg
司机,driver,animate,a12.jpg
蚯蚓,earthworm,animate,a13.jpg
蝙蝠,bat,animate,a14.jpg
记者,reporter,animate,a15.jpg
海鸥,seagull,animate,a16.jpg
野猪,boar,animate,a17.jpg
孕妇,pregnant woman,animate,a18.jpg
蜜蜂,bee,animate,a19.jpg
骆驼,camel,animate,a20.jpg
蜗牛,snails,animate,a21.jpg
婴儿,baby,animate,a22.jpg
母鸡,hen,animate,a23.jpg
鸭子,duck,animate,a24.jpg
老鼠,mouse,animate,a25.jpg
蜻蜓,dragonfly,animate,a26.jpg
狮子,lion,animate,a27.jpg
奶牛,cows,animate,a28.jpg
螳螂,praying mantis,animate,a29.jpg
乌鸦,crow,animate,a30.jpg
公鸡,rooster,animate,a31.jpg
孔雀,peacock,animate,a32.jpg
法官,judge,animate,a33.jpg
军人,soldier,animate,a34.jpg
绵羊,sheep,animate,a35.jpg
诗人,poet,animate,a36.jpg
黑猫,black cat,animate,a37.jpg
犯人,culprit,animate,a38.jpg
观众,audience,animate,a39.jpg
老师,teacher,animate,a40.jpg
家庭,family,animate,a41.jpg
毛驴,donkey,animate,a42.jpg
乐队,band,animate,a43.jpg
女王,queen,animate,a44.jpg
歌手,singer,animate,a45.jpg
道士,taoist priest,animate,a46.jpg
蚊子,mosquito,animate,a47.jpg
狐狸,fox,animate,a48.jpg
螃蟹,crab,animate,a49.jpg
蝌蚪,tadpole,animate,a50.jpg
海豚,dolphin,animate,a51.jpg
鲨鱼,shark,animate,a52.jpg
乌龟,turtle,animate,a53.jpg
金鱼,goldfish,animate,a54.jpg
病人,patient,animate,a55.jpg
苍蝇,fly,animate,a56.jpg
蝴蝶,butterfly,animate,a57.jpg
兔子,rabbit,animate,a58.jpg
蚂蚁,ant,animate,a59.jpg
猴子,monkey,animate,a60.jpg
天鹅,swan,animate,a61.jpg
青蛙,frog,animate,a62.jpg
蜘蛛,spider,animate,a63.jpg
鳄鱼,crocodile,animate,a64.jpg
松鼠,squirrel,animate,a65.jpg
小鸟,bird,animate,a66.jpg
老虎,tiger,animate,a67.jpg
工人,worker,animate,a68.jpg
农民,farmer,animate,a69.jpg
老鹰,eagle,animate,a70.jpg
护士,nurse,animate,a71.jpg
蟋蟀,cricket,animate,a72.jpg
骑兵,cavalry,animate,a73.jpg
母猪,sow,animate,a74.jpg
船长,captain,animate,a75.jpg
