item,option_left,option_right
animate/a1.jpg,有生命,无生命
animate/a1.jpg,无生命,有生命
animate/a2.jpg,有生命,无生命
animate/a2.jpg,无生命,有生命
animate/a3.jpg,有生命,无生命
animate/a3.jpg,无生命,有生命
animate/a4.jpg,有生命,无生命
animate/a4.jpg,无生命,有生命
animate/a5.jpg,有生命,无生命
animate/a5.jpg,无生命,有生命
animate/a6.jpg,有生命,无生命
animate/a6.jpg,无生命,有生命
animate/a7.jpg,有生命,无生命
animate/a7.jpg,无生命,有生命
animate/a8.jpg,有生命,无生命
animate/a8.jpg,无生命,有生命
animate/a9.jpg,有生命,无生命
animate/a9.jpg,无生命,有生命
animate/a10.jpg,有生命,无生命
animate/a10.jpg,无生命,有生命
animate/a11.jpg,有生命,无生命
animate/a11.jpg,无生命,有生命
animate/a12.jpg,有生命,无生命
animate/a12.jpg,无生命,有生命
animate/a13.jpg,有生命,无生命
animate/a13.jpg,无生命,有生命
animate/a14.jpg,有生命,无生命
animate/a14.jpg,无生命,有生命
animate/a15.jpg,有生命,无生命
animate/a15.jpg,无生命,有生命
animate/a16.jpg,有生命,无生命
animate/a16.jpg,无生命,有生命
animate/a17.jpg,有生命,无生命
animate/a17.jpg,无生命,有生命
animate/a18.jpg,有生命,无生命
animate/a18.jpg,无生命,有生命
animate/a19.jpg,有生命,无生命
animate/a19.jpg,无生命,有生命
animate/a20.jpg,有生命,无生命
animate/a20.jpg,无生命,有生命
animate/a21.jpg,有生命,无生命
animate/a21.jpg,无生命,有生命
animate/a22.jpg,有生命,无生命
animate/a22.jpg,无生命,有生命
animate/a23.jpg,有生命,无生命
animate/a23.jpg,无生命,有生命
animate/a24.jpg,有生命,无生命
animate/a24.jpg,无生命,有生命
animate/a25.jpg,有生命,无生命
animate/a25.jpg,无生命,有生命
animate/a26.jpg,有生命,无生命
animate/a26.jpg,无生命,有生命
animate/a27.jpg,有生命,无生命
animate/a27.jpg,无生命,有生命
animate/a28.jpg,有生命,无生命
animate/a28.jpg,无生命,有生命
animate/a29.jpg,有生命,无生命
animate/a29.jpg,无生命,有生命
animate/a30.jpg,有生命,无生命
animate/a30.jpg,无生命,有生命
animate/a31.jpg,有生命,无生命
animate/a31.jpg,无生命,有生命
animate/a32.jpg,有生命,无生命
animate/a32.jpg,无生命,有生命
animate/a33.jpg,有生命,无生命
animate/a33.jpg,无生命,有生命
animate/a34.jpg,有生命,无生命
animate/a34.jpg,无生命,有生命
animate/a35.jpg,有生命,无生命
animate/a35.jpg,无生命,有生命
animate/a36.jpg,有生命,无生命
animate/a36.jpg,无生命,有生命
animate/a37.jpg,有生命,无生命
animate/a37.jpg,无生命,有生命
animate/a38.jpg,有生命,无生命
animate/a38.jpg,无生命,有生命
animate/a39.jpg,有生命,无生命
animate/a39.jpg,无生命,有生命
animate/a40.jpg,有生命,无生命
animate/a40.jpg,无生命,有生命
animate/a41.jpg,有生命,无生命
animate/a41.jpg,无生命,有生命
animate/a42.jpg,有生命,无生命
animate/a42.jpg,无生命,有生命
animate/a43.jpg,有生命,无生命
animate/a43.jpg,无生命,有生命
animate/a44.jpg,有生命,无生命
animate/a44.jpg,无生命,有生命
animate/a45.jpg,有生命,无生命
animate/a45.jpg,无生命,有生命
animate/a46.jpg,有生命,无生命
animate/a46.jpg,无生命,有生命
animate/a47.jpg,有生命,无生命
animate/a47.jpg,无生命,有生命
animate/a48.jpg,有生命,无生命
animate/a48.jpg,无生命,有生命
animate/a49.jpg,有生命,无生命
animate/a49.jpg,无生命,有生命
animate/a50.jpg,有生命,无生命
animate/a50.jpg,无生命,有生命
animate/a51.jpg,有生命,无生命
animate/a51.jpg,无生命,有生命
animate/a52.jpg,有生命,无生命
